acc	feature	start..end	content_fraction	content_count	 length
P03265	prediction-lip-anchor	1..5,15..32,44..53,57..70,73..87,102..135,169..180	0.204	108	
P03265	prediction-disorder-iupl	1..169,302..304,307..308,312..312,515..515	0.333	176	
P03265	prediction-disorder-jronn	1..113,133..179,300..318,423..429,432..440,507..529	0.412	218	
P03265	prediction-disorder-vsl	1..174,301..319,400..405,459..464,521..529	0.405	214	
P03265	prediction-low_complexity-seg	4..24,30..50,52..62,66..76,84..102,155..166	0.18	95	
P03265	prediction-disorder-glo	2..2,15..45,61..77,87..102,124..131,346..356,386..386,394..410,455..471,520..520,524..525,527..527	0.233	123	
P03265	prediction-disorder-espX	1..113,133..145,147..164,522..529	0.287	152	
P03265	prediction-disorder-iups	1..109,111..111,115..118,125..128,130..170,307..309,523..529	0.319	169	
P03265	prediction-disorder-espD	1..100	0.189	100	
P03265	prediction-disorder-dis465	1..101,130..135,149..166,305..317,522..522,526..529	0.27	143	
P03265	prediction-disorder-disHL	1..46,53..108,118..172,224..234,312..328,490..494,503..504,508..508,511..529	0.401	212	
P03265	prediction-disorder-espN	1..113,118..166,303..305,383..388,403..403,458..466,517..529	0.367	194	
P03265	homology-domain-pfam	184..262,282..383,394..490	0.526	278	
P03265	homology-domain-gene3d	174..278,470..500,309..469	0.561	297	
P03265	prediction-disorder-mobidb_lite	1..108,125..166	0.284	150	
P03265	prediction-polyampholyte-mobidb_lite_sub	1..22,47..62,137..156	0.11	58	
P03265	prediction-disorder-th_50	1..113,118..118,124..169,307..308,312..312,522..529	0.323	171	
P03265	prediction-low_complexity-merge	4..24,30..50,52..62,66..76,84..102,155..166	0.18	95	
P03265	homology-domain-merge	174..278,282..500	0.612	324	
P03265	curated-disorder-disprot	294..334,454..464	0.098	52	
P03265	curated-disorder-merge	294..334,454..464	0.098	52	
P03265	curated-disorder-priority	294..334,454..464	0.098	52	
P03265	derived-binding_mode_disorder_to_disorder-mobi	174..175,299..326,456..462	0.07	37	
P03265	derived-binding_mode_disorder_to_disorder-priority	174..175,299..326,456..462	0.07	37	
P03265	derived-lip-merge	515..529	0.028	15	
P03265	derived-missing_residues-priority	174..175	0.004	2	
P03265	derived-missing_residues-th_90	174..175,299..326,456..462	0.07	37	
P03265	derived-missing_residues_context_dependent-th_90	176..179,293..298,327..334,344..349,401..405,427..432,454..455,463..464	0.074	39	
P03265	derived-observed-priority	180..292,335..343,350..400,406..426,433..453,465..529	0.529	280	
P03265	derived-observed-th_90	180..292,335..343,350..400,406..426,433..453,465..529	0.529	280	
P03265	prediction-disorder-priority	1..108,125..166	0.284	150	
P03265	prediction-lip-priority	1..5,15..32,44..53,57..70,73..87,102..135,169..180	0.204	108	
P03045	homology-domain-pfam	2..36	0.327	35	
P03045	prediction-low_complexity-seg	3..17	0.14	15	
P03045	prediction-disorder-iupl	1..16,36..45,70..70,74..95	0.458	49	
P03045	prediction-disorder-vsl	1..51,69..107	0.841	90	
P03045	prediction-disorder-dis465	1..17,43..48,99..99,101..107	0.29	31	
P03045	prediction-disorder-disHL	1..6,11..50,55..55,70..107	0.794	85	
P03045	prediction-disorder-jronn	1..54,70..99	0.785	84	
P03045	prediction-disorder-glo	1..1,4..4,84..94,100..100,102..102,104..104	0.15	16	
P03045	prediction-disorder-espX	1..19,92..107	0.327	35	
P03045	prediction-disorder-iups	1..18,85..89,93..97,99..107	0.346	37	
P03045	prediction-disorder-espD	1..106	0.991	106	
P03045	prediction-disorder-espN	1..13,96..107	0.234	25	
P03045	prediction-lip-anchor	18..33,37..38,55..64,102..107	0.318	34	
P03045	prediction-disorder-mobidb_lite	85..107	0.215	23	
P03045	prediction-disorder-th_50	1..19,36..48,70..70,74..107	0.626	67	
P03045	homology-domain-merge	2..36	0.327	35	
P03045	prediction-low_complexity-merge	3..17	0.14	15	
P03045	curated-disorder-disprot	1..107	1	107	
P03045	curated-disorder-merge	1..107	1	107	
P03045	curated-disorder-priority	1..107	1	107	
P03045	derived-binding_mode_disorder_to_order-mobi	82..84	0.028	3	
P03045	derived-binding_mode_disorder_to_order-priority	82..84	0.028	3	
P03045	derived-lip-merge	2..107	0.991	106	
P03045	derived-lip-priority	87..107	0.196	21	
P03045	derived-lip-th_90	87..107	0.196	21	
P03045	derived-missing_residues_context_dependent-th_90	82..84	0.028	3	
P03045	derived-mobile_context_dependent-th_90	2..36	0.327	35	
P03045	derived-observed-th_90	1..81,85..107	0.972	104	
P03045	prediction-lip-priority	18..33,37..38,55..64	0.262	28	
P00004	homology-domain-gene3d	2..105	0.99	104	
P00004	homology-domain-merge	2..105	0.99	104	
P00004	homology-domain-pfam	4..101	0.933	98	
P00004	curated-disorder-disprot	1..104	0.99	104	
P00004	curated-disorder-merge	1..104	0.99	104	
P00004	curated-disorder-priority	1..104	0.99	104	
P00004	derived-binding_mode_disorder_to_disorder-mobi	1..1	0.01	1	
P00004	derived-binding_mode_disorder_to_disorder-priority	1..1	0.01	1	
P00004	derived-lip-merge	78..105	0.267	28	
P00004	derived-missing_residues-th_90	1..1	0.01	1	
P00004	derived-mobile_context_dependent-th_90	2..105	0.99	104	
P00004	derived-observed-priority	105..105	0.01	1	
P00004	derived-observed-th_90	2..105	0.99	104	
P27695	prediction-disorder-iupl	1..60,105..106,115..115,219..220,224..232	0.233	74	
P27695	prediction-disorder-espN	1..61,100..102,122..129,145..153,218..232	0.302	96	
P27695	prediction-disorder-dis465	1..40,46..58,124..127	0.179	57	
P27695	prediction-disorder-disHL	1..60,65..68,81..83,94..99,149..152,171..181,197..206,215..229,231..231,301..310,316..318	0.399	127	
P27695	prediction-disorder-iups	1..59,222..222,225..236	0.226	72	
P27695	prediction-low_complexity-seg	23..35	0.041	13	
P27695	prediction-disorder-jronn	1..60,97..150,222..230,303..305,308..308,312..317	0.418	133	
P27695	prediction-disorder-espD	1..52	0.164	52	
P27695	prediction-disorder-glo	1..1,4..4,7..7,39..62,117..131,221..234,310..310,312..312	0.182	58	
P27695	prediction-disorder-espX	1..64	0.201	64	
P27695	prediction-disorder-vsl	1..60,99..129,147..154,220..237,301..304	0.381	121	
P27695	homology-domain-pfam	66..309	0.767	244	
P27695	homology-domain-gene3d	35..317	0.89	283	
P27695	prediction-lip-anchor	4..12,43..44,61..80,91..94,165..165	0.113	36	
P27695	prediction-disorder-mobidb_lite	1..60	0.189	60	
P27695	prediction-polyampholyte-mobidb_lite_sub	1..41	0.129	41	
P27695	prediction-disorder-th_50	1..60,124..127,222..232	0.236	75	
P27695	prediction-low_complexity-merge	23..35	0.041	13	
P27695	homology-domain-merge	35..317,318..317	0.89	283	
P27695	curated-disorder-disprot	1..42	0.132	42	
P27695	curated-disorder-merge	1..42	0.132	42	
P27695	curated-disorder-priority	1..42	0.132	42	
P27695	derived-binding_mode_disorder_to_disorder-mobi	1..37	0.116	37	
P27695	derived-binding_mode_disorder_to_disorder-priority	1..37	0.116	37	
P27695	derived-lip-merge	59..71	0.041	13	
P27695	derived-missing_residues-th_90	1..39	0.123	39	
P27695	derived-missing_residues_context_dependent-th_90	40..43,123..127,149..153	0.044	14	
P27695	derived-mobile_context_dependent-th_90	59..71	0.041	13	
P27695	derived-observed-priority	44..122,128..148,154..318	0.833	265	
P27695	derived-observed-th_90	44..122,128..148,154..318	0.833	265	
P27695	prediction-disorder-priority	43..43	0.003	1	
P27695	prediction-lip-priority	4..12,43..44,61..80,91..94,165..165	0.113	36	
Q64693	prediction-disorder-iupl	1..40,42..48,55..55,71..72,151..167,169..169,171..174,176..176,188..198,204..204,211..214,217..224,228..233,238..239,241..241,243..244,246..251	0.445	114	
Q64693	prediction-disorder-iups	1..47,154..155,157..169,171..179,187..198,200..200,202..202,204..206,216..217,219..219,249..256	0.387	99	
Q64693	prediction-low_complexity-seg	90..104	0.059	15	
Q64693	prediction-disorder-vsl	1..56,66..79,133..228,236..256	0.73	187	
Q64693	prediction-disorder-espX	1..21,36..38,253..256	0.109	28	
